arsno,bstopid,bstopnm,gpsx,gpsy,stoptype,geometry
02052,168370201,서부교회,129.0183,35.1091866667,일반,POINT (129.0183 35.1091866667)
02053,168350401,서부교회,129.01924,35.1086766667,일반,POINT (129.01924 35.1086766667)
02054,168370202,서부교회,129.019621486073,35.107968269589,일반,POINT (129.019621486073 35.107968269589)
02055,168460304,대진아파트,129.0244833333,35.0872766667,일반,POINT (129.0244833333 35.0872766667)
02056,168350201,동아대부민캠퍼스,129.0200916667,35.106025,일반,POINT (129.0200916667 35.106025)
02057,168950101,동아대학교병원,129.016650163503,35.119427715614,일반,POINT (129.016650163503 35.119427715614)
02058,168360101,동아대부민캠퍼스,129.020154,35.105652,일반,POINT (129.020154 35.105652)
02059,168390101,동아대부민캠퍼스,129.020238685449,35.104979643035,일반,POINT (129.020238685449 35.104979643035)
02060,211000103,대진아파트,129.0245783333,35.0873566667,일반,POINT (129.0245783333 35.0873566667)
02061,168530401,영락교회,129.02061,35.1033833333,일반,POINT (129.02061 35.1033833333)
02062,168390201,영락교회,129.020771934178,35.103172436155,일반,POINT (129.020771934178 35.103172436155)
02064,168380101,부산대학병원.토성역,129.019925,35.1013433333,일반,POINT (129.019925 35.1013433333)
02065,168390301,부산대학병원.토성역,129.0197783333,35.1013383333,일반,POINT (129.0197783333 35.1013383333)
02066,168380401,토성역.아미동입구,129.018015,35.09994,일반,POINT (129.018015 35.09994)
02067,168500101,토성역.아미동입구,129.01867,35.0998,일반,POINT (129.01867 35.0998)
02068,168500301,아동보호종합센터,129.0158716667,35.1000166667,일반,POINT (129.0158716667 35.1000166667)
02069,168500302,양성슈퍼,129.0133566667,35.1002233333,일반,POINT (129.0133566667 35.1002233333)
02070,168600301,까치새길입구,129.01153,35.10138,일반,POINT (129.01153 35.10138)
02071,168600302,아름다운교회,129.0109616667,35.10309,일반,POINT (129.0109616667 35.10309)
02072,208270201,아름다운교회,129.010835,35.1028133333,일반,POINT (129.010835 35.1028133333)
02073,208270202,까치새길입구,129.0114516667,35.1013933333,일반,POINT (129.0114516667 35.1013933333)
02074,168600101,양성슈퍼,129.0135116667,35.1000983333,일반,POINT (129.0135116667 35.1000983333)
02075,168600102,아동보호종합센터,129.0160533333,35.1000283333,일반,POINT (129.0160533333 35.1000283333)
02076,168500201,아미치안센터,129.016077491103,35.099435021404,일반,POINT (129.016077491103 35.099435021404)
02077,168490301,아미치안센터,129.016805,35.100007,일반,POINT (129.016805 35.100007)
02078,168490101,아미초등학교,129.017205,35.0977433333,일반,POINT (129.017205 35.0977433333)
02079,168480201,아미초등학교,129.0172216667,35.0978,일반,POINT (129.0172216667 35.0978)
02080,168380301,토성동,129.0205283333,35.09805,일반,POINT (129.0205283333 35.09805)
02081,168400402,부산대학병원.토성역,129.020131243037,35.098960163217,일반,POINT (129.020131243037 35.098960163217)
02082,168400401,토성동,129.02083,35.0979333333,일반,POINT (129.02083 35.0979333333)
02084,208920102,암남공원,129.019225,35.0631183333,일반,POINT (129.019225 35.0631183333)
02085,167920303,서구청,129.025152229487,35.097647885044,일반,POINT (129.025152229487 35.097647885044)
02087,168460201,충무동해안시장,129.025246431282,35.09615735956,일반,POINT (129.025246431282 35.09615735956)
02088,168460202,충무동해안시장,129.025895,35.0963183333,일반,POINT (129.025895 35.0963183333)
02089,211000106,자갈치역.충무동해안시장,129.024512762525,35.095774249314,일반,POINT (129.024512762525 35.095774249314)
02090,168460303,충무동교차로,129.0242666667,35.0956266667,일반,POINT (129.0242666667 35.0956266667)
02091,168460401,자갈치역.충무동교차로,129.023802582702,35.096626837849,일반,POINT (129.023802582702 35.096626837849)
02092,168460402,충무동교차로,129.0231016667,35.0966633333,일반,POINT (129.0231016667 35.0966633333)
02093,168400101,충무동교차로,129.023415,35.0964616667,일반,POINT (129.023415 35.0964616667)
02094,168750302,하동상회,129.0182383333,35.0962383333,일반,POINT (129.0182383333 35.0962383333)
02095,168480102,하동상회,129.0182516667,35.096015,일반,POINT (129.0182516667 35.096015)
02096,168750301,초장중학교,129.0190866667,35.094505,일반,POINT (129.0190866667 35.094505)
02097,168480101,초장중학교,129.019,35.0943783333,일반,POINT (129.019 35.0943783333)
02098,168480103,초장동,129.018435964282,35.092856705727,일반,POINT (129.018435964282 35.092856705727)
02099,168640305,초장동,129.01875,35.09255,일반,POINT (129.01875 35.09255)
02100,168750201,대원사,129.020005,35.091555,일반,POINT (129.020005 35.091555)
02101,168640304,대원사,129.0199616667,35.0916366667,일반,POINT (129.0199616667 35.0916366667)
02102,168400201,남부민시장입구,129.022126937903,35.092653874934,일반,POINT (129.022126937903 35.092653874934)
02103,168720201,남부민시장입구,129.022078702617,35.093138197384,일반,POINT (129.022078702617 35.093138197384)
02104,168460301,충무쇼핑.충무동새벽시장,129.023895,35.092815,일반,POINT (129.023895 35.092815)
02105,211000105,충무쇼핑.충무동새벽시장,129.0240266667,35.0928016667,일반,POINT (129.0240266667 35.0928016667)
02106,211000104,공동어시장,129.024375,35.089665,일반,POINT (129.024375 35.089665)
02107,168460302,공동어시장,129.024305,35.0889783333,일반,POINT (129.024305 35.0889783333)
02108,168540303,남부민초등학교,129.0234066667,35.0878283333,일반,POINT (129.0234066667 35.0878283333)
02109,168730201,남부민초등학교,129.0232983333,35.0882416667,일반,POINT (129.0232983333 35.0882416667)
02110,168640303,동천아파트,129.021685,35.0900566667,일반,POINT (129.021685 35.0900566667)
02111,168750202,동천아파트,129.021543988279,35.090546748861,일반,POINT (129.021543988279 35.090546748861)
02112,168750203,남부민동경로당,129.02179,35.08767,일반,POINT (129.02179 35.08767)
02113,168640302,남부민동경로당,129.021815,35.087435,일반,POINT (129.021815 35.087435)
02114,168730202,천마우편취급국,129.0225133333,35.0858483333,일반,POINT (129.0225133333 35.0858483333)
02115,168540302,천마우편취급국,129.0221,35.0851583333,일반,POINT (129.0221 35.0851583333)
02116,168460305,등대시장,129.02478,35.0847133333,일반,POINT (129.02478 35.0847133333)
02117,211000102,등대시장,129.024988361822,35.084320327966,일반,POINT (129.024988361822 35.084320327966)
02118,211000101,대림아파트,129.0251483333,35.082445,일반,POINT (129.0251483333 35.082445)
02119,168460306,대림아파트,129.0248883333,35.082295,일반,POINT (129.0248883333 35.082295)
02120,168450102,부산관광고교,129.0220016667,35.0821183333,일반,POINT (129.0220016667 35.0821183333)
02121,168540301,남부민2동주민센터,129.020285,35.083805,일반,POINT (129.020285 35.083805)
02122,168730203,남부민2동주민센터,129.02034,35.083633,일반,POINT (129.02034 35.083633)
02123,168540102,부산관광고교,129.0218966667,35.0824033333,일반,POINT (129.0218966667 35.0824033333)
02124,168540101,신익아파트,129.02039,35.0799883333,일반,POINT (129.02039 35.0799883333)
02125,168450101,신익아파트,129.0202783333,35.079405,일반,POINT (129.0202783333 35.079405)
02126,211000201,암남동주민센터,129.021318652834,35.079862005925,일반,POINT (129.021318652834 35.079862005925)
02127,168450201,암남동주민센터,129.0217316667,35.0797666667,일반,POINT (129.0217316667 35.0797666667)
02128,168560101,송도교차로,129.0183633333,35.0783683333,일반,POINT (129.0183633333 35.0783683333)
02129,168560301,송도입구,129.0180466667,35.079465,일반,POINT (129.0180466667 35.079465)
02130,168420301,고신대학교복음병원,129.016151096211,35.081470460701,일반,POINT (129.016151096211 35.081470460701)
02131,168430201,알로이시오기념병원,129.01282,35.0821183333,일반,POINT (129.01282 35.0821183333)
02132,168440201,알로이시오기념병원,129.0128783333,35.08187,일반,POINT (129.0128783333 35.08187)
02133,168430101,고신대학교복음병원,129.0159233333,35.0812533333,일반,POINT (129.0159233333 35.0812533333)
02134,168420101,송도입구,129.017460640049,35.079779697938,일반,POINT (129.017460640049 35.079779697938)
02135,209910206,송도교차로,129.018118754183,35.078401134427,일반,POINT (129.018118754183 35.078401134427)
02136,168560201,송도초등학교,129.016815,35.0788383333,일반,POINT (129.016815 35.0788383333)
02137,209910204,송도초등학교,129.0164333333,35.0784166667,일반,POINT (129.0164333333 35.0784166667)
02138,209910203,송도해수욕장,129.0161333333,35.076375,일반,POINT (129.0161333333 35.076375)
02139,168560202,송도해수욕장,129.015881935213,35.07673569178,일반,POINT (129.015881935213 35.07673569178)
02140,168560203,송도공영주차장,129.015295,35.074225,일반,POINT (129.015295 35.074225)
02141,209910202,송도공영주차장,129.0154116667,35.0739666667,일반,POINT (129.0154116667 35.0739666667)
02142,208920202,혜성아파트,129.0161383333,35.0714983333,일반,POINT (129.0161383333 35.0714983333)
02143,209910101,혜성아파트,129.0162466667,35.0711783333,일반,POINT (129.0162466667 35.0711783333)
02144,208920101,휴게소,129.0192966667,35.0660783333,일반,POINT (129.0192966667 35.0660783333)
02145,168550301,휴게소,129.0197883333,35.0658316667,일반,POINT (129.0197883333 35.0658316667)
02146,168550302,암남공원,129.0192816667,35.0635366667,일반,POINT (129.0192816667 35.0635366667)
02147,168550201,모지포마을입구,129.0163333333,35.0627916667,일반,POINT (129.0163333333 35.0627916667)
02148,168550202,모지포마을,129.014585,35.0637716667,일반,POINT (129.014585 35.0637716667)
02149,168780102,경성전자고등학교,129.013549776696,35.116055742666,일반,POINT (129.013549776696 35.116055742666)
02150,208930102,경성전자고등학교,129.01282,35.1164083333,일반,POINT (129.01282 35.1164083333)
02151,168510101,동원냉장,129.012798,35.065605,일반,POINT (129.012798 35.065605)
02152,168510301,감천1.2.3부두,129.0094683333,35.0683283333,일반,POINT (129.0094683333 35.0683283333)
02153,168520301,동원냉장,129.0129833333,35.0656483333,일반,POINT (129.0129833333 35.0656483333)
02154,168760201,민들레맨션,129.0092033333,35.1086483333,일반,POINT (129.0092033333 35.1086483333)
02155,168680101,민들레맨션,129.0093916667,35.1091266667,일반,POINT (129.0093916667 35.1091266667)
02156,210980301,인성글로벌냉장,129.006735,35.072705,일반,POINT (129.006735 35.072705)
02157,208850203,인성글로벌냉장,129.0066366667,35.0725633333,일반,POINT (129.0066366667 35.0725633333)
02158,208850201,한일냉장,129.0053883333,35.08054,일반,POINT (129.0053883333 35.08054)
02159,210980303,한일냉장,129.005565,35.0800283333,일반,POINT (129.005565 35.0800283333)
02160,168780302,서대신금호아파트(종점),129.0111616667,35.1193233333,일반,POINT (129.0111616667 35.1193233333)
02161,209910201,송도혜성아파트(종점),129.015955,35.072275,일반,POINT (129.015955 35.072275)
02162,168250305,동대신2동,129.0238266667,35.1152433333,일반,POINT (129.0238266667 35.1152433333)
02163,168410201,동대신2동,129.0240933333,35.1149233333,일반,POINT (129.0240933333 35.1149233333)
02166,208850202,동양레미콘,129.0060016667,35.0757866667,일반,POINT (129.0060016667 35.0757866667)
02167,210990101,감천1.2.3부두,129.0094483333,35.068205,일반,POINT (129.0094483333 35.068205)
02168,210980302,동양레미콘,129.0060733333,35.0761866667,일반,POINT (129.0060733333 35.0761866667)
02169,168780101,대신중학교,129.01375,35.117025,일반,POINT (129.01375 35.117025)
02170,168570501,경남고등학교,129.0179916667,35.1191366667,일반,POINT (129.0179916667 35.1191366667)
02171,208920201,현대아파트,129.017532266419,35.070902211983,일반,POINT (129.017532266419 35.070902211983)
02172,209910102,현대아파트,129.0168216667,35.0708566667,일반,POINT (129.0168216667 35.0708566667)
02173,168750204,해강노인관,129.0202183333,35.0850416667,일반,POINT (129.0202183333 35.0850416667)
02174,168640301,해강노인관,129.0200583333,35.08483,일반,POINT (129.0200583333 35.08483)
02175,168520101,모지포마을,129.014525,35.0637266667,일반,POINT (129.014525 35.0637266667)
02177,168520201,성진수산,129.012010098387,35.062186515951,일반,POINT (129.012010098387 35.062186515951)
02178,168850101,성진수산,129.012130490436,35.061937893617,일반,POINT (129.012130490436 35.061937893617)
02179,168850201,부산국제수산물도매시장,129.011436,35.059938,일반,POINT (129.011436 35.059938)
02180,168350101,동아대부민캠퍼스,129.02092108747,35.107487325934,일반,POINT (129.02092108747 35.107487325934)
02181,167900401,동아대부민캠퍼스,129.0217736736,35.107637603247,일반,POINT (129.0217736736 35.107637603247)
02182,212650201,수산가공선진화단지입구,129.0122832,35.05705224,일반,POINT (129.0122832 35.05705224)
02183,215980101,수산가공선진화단지입구,129.012605587509,35.057015348233,일반,POINT (129.012605587509 35.057015348233)
02184,215970101,수산가공선진화단지,129.011955445317,35.054637982065,일반,POINT (129.011955445317 35.054637982065)
02185,212650101,부산국제수산물도매시장,129.011483,35.059855,일반,POINT (129.011483 35.059855)
02186,168750205,남부민동,129.0179927,35.08326948,일반,POINT (129.0179927 35.08326948)
02187,168630201,동산교회,129.0157694,35.08439027,일반,POINT (129.0157694 35.08439027)
02188,168870201,알로이시오고교,129.012298746371,35.082348147692,일반,POINT (129.012298746371 35.082348147692)
02189,168540201,남부민동,129.018426586869,35.083028908476,일반,POINT (129.018426586869 35.083028908476)
02190,168280301,서대신역.서부경찰서,129.0143599,35.10998239,일반,POINT (129.0143599 35.10998239)
02191,210740201,천마마을,129.0144322,35.08451163,일반,POINT (129.0144322 35.08451163)
02194,504570000,문화아파트,129.016121625929,35.115276791618,일반,POINT (129.016121625929 35.115276791618)
02195,168600303,까치고개,129.011425,35.1045816667,일반,POINT (129.011425 35.1045816667)
03001,170050202,범곡교차로,129.0562937,35.14008672,일반,POINT (129.0562937 35.14008672)
03002,170050201,범곡교차로,129.056415,35.1406383333,일반,POINT (129.056415 35.1406383333)
03003,169300101,부산범천교회,129.054860427563,35.141841175067,일반,POINT (129.054860427563 35.141841175067)
03004,169210102,아름빌아파트,129.052248722123,35.141521517731,일반,POINT (129.052248722123 35.141521517731)
03005,169300301,아름빌아파트,129.0522233333,35.1416733333,일반,POINT (129.0522233333 35.1416733333)
03006,169210101,서광교회,129.05114,35.139965,일반,POINT (129.05114 35.139965)
03007,169300302,서광교회,129.0511583333,35.1405433333,일반,POINT (129.0511583333 35.1405433333)
03008,169410301,범일초등학교,129.0490066667,35.1406983333,일반,POINT (129.0490066667 35.1406983333)
03009,169410302,삼화약국,129.0487933333,35.1433733333,일반,POINT (129.0487933333 35.1433733333)
03010,169420201,삼화약국,129.0485916667,35.1435233333,일반,POINT (129.0485916667 35.1435233333)
03011,169420202,범일초등학교,129.048884566147,35.140602537661,일반,POINT (129.048884566147 35.140602537661)
03012,169410201,범일초등학교,129.0488684965,35.1402460466,일반,POINT (129.0488684965 35.1402460466)
03013,210060102,범일초등학교,129.0488521814,35.1399088672,일반,POINT (129.0488521814 35.1399088672)
03014,210060101,성북고개,129.04816,35.138795,일반,POINT (129.04816 35.138795)
03015,170050101,범곡교차로,129.056701,35.142082,일반,POINT (129.056701 35.142082)
03016,169410203,성북고개,129.0477983333,35.1382233333,일반,POINT (129.0477983333 35.1382233333)
03017,210060201,좌천할인마트.서린엘마르더뷰,129.047000416464,35.136724680015,일반,POINT (129.047000416464 35.136724680015)
03018,210050101,좌천동농심가슈퍼,129.0472966667,35.1368433333,일반,POINT (129.0472966667 35.1368433333)
03019,169230301,수정삼거리,129.04568,35.1353483333,일반,POINT (129.04568 35.1353483333)
