발생일,lat,lng,주소,Address,geometry
2022-12-26,35.17097181,129.140534,부산광역시 해운대구 우동  1185번길-175,부산광역시 해운대구 우동  1185번길-175,POINT (129.1405339805768 35.17097180608847)
2022-12-26,35.11240599,128.8780753,부산광역시 강서구 녹산동  598번길-2,부산광역시 강서구 녹산동  598번길-2,POINT (128.878075305259 35.112405993898)
2022-12-27,35.15080989,129.0575291,부산광역시 부산진구 부전동  576번길-1,부산광역시 부산진구 부전동  576번길-1,POINT (129.057529124842 35.15080988718561)
2022-12-26,35.15084845,129.0575136,부산광역시 부산진구 부전동  576번길-1,부산광역시 부산진구 부전동  576번길-1,POINT (129.0575136378407 35.15084844972881)
2022-12-26,35.16412032,129.0635544,부산광역시 부산진구 부전동  573번길-1,부산광역시 부산진구 부전동  573번길-1,POINT (129.0635543961156 35.1641203162694)
2022-12-25,35.09664569,129.0547141,부산광역시 영도구 청학동  330번길-84,부산광역시 영도구 청학동  330번길-84,POINT (129.0547140640583 35.09664568938787)
2022-12-25,35.1603235,129.0570286,부산광역시 부산진구 부전동  573번길-1,부산광역시 부산진구 부전동  573번길-1,POINT (129.0570286 35.1603235)
2022-12-25,35.19482422,129.1105191,부산광역시 동래구 안락동  472번길-57,부산광역시 동래구 안락동  472번길-57,POINT (129.1105191 35.1948242188)
2022-12-25,35.15171203,129.0655451,부산광역시 부산진구 전포동  380번길-1,부산광역시 부산진구 전포동  380번길-1,POINT (129.0655450942057 35.15171203467667)
2022-12-25,35.24019001,129.0827902,부산광역시 금정구 장전동  657번길-38,부산광역시 금정구 장전동  657번길-38,POINT (129.0827901698547 35.24019001058726)
2022-12-25,35.1695338,129.1713178,부산광역시 해운대구 중동  300번길-10,부산광역시 해운대구 중동  300번길-10,POINT (129.1713178088163 35.16953380482256)
2022-12-25,35.1158024,129.0175713,부산광역시 서구 동대신동3가  147번길-2,부산광역시 서구 동대신동3가  147번길-2,POINT (129.0175713043852 35.11580239570543)
2022-12-26,35.09350772,128.8685713,부산광역시 강서구 송정동  1687번길,부산광역시 강서구 송정동  1687번길,POINT (128.8685712883195 35.09350772286744)
2022-12-26,35.21608438,129.0872523,부산광역시 동래구 명륜동  791번길,부산광역시 동래구 명륜동  791번길,POINT (129.0872522731215 35.21608438282671)
2022-12-26,35.18155468,129.0493282,부산광역시 부산진구 초읍동  173번길-1,부산광역시 부산진구 초읍동  173번길-1,POINT (129.0493281588294 35.18155467922961)
2022-12-26,35.095035,128.905162,부산광역시 강서구 명지동  3595번길-3,부산광역시 강서구 명지동  3595번길-3,POINT (128.905162 35.095035)
2022-12-26,35.08904773,128.9124249,부산광역시 강서구 명지동  2984번길-102,부산광역시 강서구 명지동  2984번길-102,POINT (128.9124248964086 35.0890477266836)
2022-12-26,35.08916094,128.9123892,부산광역시 강서구 명지동  2984번길-102,부산광역시 강서구 명지동  2984번길-102,POINT (128.9123891657281 35.08916094021942)
2022-12-26,35.08911936,128.912454,부산광역시 강서구 명지동  2984번길-102,부산광역시 강서구 명지동  2984번길-102,POINT (128.9124539796502 35.0891193637163)
2022-12-25,35.1526003,129.0337863,부산광역시 부산진구 가야동  317번길-1,부산광역시 부산진구 가야동  317번길-1,POINT (129.0337863 35.1526003)
2022-12-25,35.2105738,129.0380149,부산광역시 북구 만덕동  311번길-3,부산광역시 북구 만덕동  311번길-3,POINT (129.0380149014629 35.21057379838712)
2022-12-24,35.0859778,128.9863676,부산광역시 사하구 구평동  106번길,부산광역시 사하구 구평동  106번길,POINT (128.986367606545 35.0859777966562)
2022-12-24,35.2756959,129.1081833,부산광역시 금정구 선동  622번길,부산광역시 금정구 선동  622번길,POINT (129.1081833313893 35.27569590238289)
2022-12-24,35.109226,128.8871904,부산광역시 강서구 화전동  558번길,부산광역시 강서구 화전동  558번길,POINT (128.8871904 35.109226)
2022-12-24,35.17046143,129.1107027,부산광역시 수영구 광안동  1093번길,부산광역시 수영구 광안동  1093번길,POINT (129.1107026835892 35.17046143167633)
2022-12-24,35.17535178,129.1186078,부산광역시 수영구 망미동  182번길-4,부산광역시 수영구 망미동  182번길-4,POINT (129.1186078471339 35.17535178262062)
2022-12-24,35.1684159,129.1197256,부산광역시 수영구 수영동  505번길,부산광역시 수영구 수영동  505번길,POINT (129.1197255664755 35.16841590321822)
2022-12-24,35.15768433,129.0594301,부산광역시 부산진구 부전동  573번길-1,부산광역시 부산진구 부전동  573번길-1,POINT (129.0594300629 35.1576843262)
2022-12-24,35.0914917,128.9039663,부산광역시 강서구 명지동  3622번길,부산광역시 강서구 명지동  3622번길,POINT (128.9039663224 35.0914916992)
2022-12-24,35.17434692,129.1200794,부산광역시 수영구 망미동  980번길-41,부산광역시 수영구 망미동  980번길-41,POINT (129.1200793667 35.1743469238)
2022-12-24,35.25374359,129.1007704,부산광역시 금정구 구서동  52번길-17,부산광역시 금정구 구서동  52번길-17,POINT (129.100770356093 35.25374358969623)
2022-12-24,35.1544075,129.0653992,부산광역시 부산진구 전포동  870번길-1,부산광역시 부산진구 전포동  870번길-1,POINT (129.0653991699219 35.1544075012207)
2022-12-24,35.16778564,129.0504502,부산광역시 부산진구 부암동  42번길-1,부산광역시 부산진구 부암동  42번길-1,POINT (129.0504502424 35.1677856445)
2022-12-24,35.16206245,129.1142042,부산광역시 수영구 광안동  205번길,부산광역시 수영구 광안동  205번길,POINT (129.1142042188573 35.16206244800023)
2022-12-24,35.18813109,129.1262585,부산광역시 해운대구 재송동  1143번길,부산광역시 해운대구 재송동  1143번길,POINT (129.1262585331487 35.18813109179514)
2022-12-24,35.1051876,129.0374377,부산광역시 중구 중앙동4가  91번길,부산광역시 중구 중앙동4가  91번길,POINT (129.0374377450375 35.1051875969384)
2022-12-24,35.10511213,129.0373701,부산광역시 중구 중앙동4가  26번길-3,부산광역시 중구 중앙동4가  26번길-3,POINT (129.0373700704075 35.10511213497289)
2022-12-24,35.26753636,129.222233,부산광역시 기장군 일광읍 삼성리 768번길,부산광역시 기장군 일광읍 삼성리 768번길,POINT (129.2222330259492 35.26753636309081)
2022-12-24,35.26723209,129.2235281,부산광역시 기장군 일광읍 삼성리 768번길,부산광역시 기장군 일광읍 삼성리 768번길,POINT (129.2235280928105 35.26723208614349)
2022-12-24,35.2328569,129.1544106,부산광역시 해운대구 반송동  15번길-1,부산광역시 해운대구 반송동  15번길-1,POINT (129.1544105571225 35.23285690311555)
2022-12-24,35.23624587,129.1687456,부산광역시 기장군 철마면 고촌리 693번길,부산광역시 기장군 철마면 고촌리 693번길,POINT (129.1687456189446 35.23624586679445)
2022-12-24,35.15139063,129.1114881,부산광역시 수영구 광안동  205번길,부산광역시 수영구 광안동  205번길,POINT (129.1114881054116 35.15139063181653)
2022-12-24,35.0859778,128.9863676,부산광역시 사하구 구평동  106번길,부산광역시 사하구 구평동  106번길,POINT (128.986367606545 35.0859777966562)
2022-12-23,35.16687721,129.04881,부산광역시 부산진구 부암동  300번길,부산광역시 부산진구 부암동  300번길,POINT (129.0488100239346 35.16687720551636)
2022-12-23,35.15457153,129.0582463,부산광역시 부산진구 부전동  242번길-18,부산광역시 부산진구 부전동  242번길-18,POINT (129.0582462699 35.1545715332)
2022-12-23,35.10623928,129.0231021,부산광역시 중구 보수동2가  48번길-1,부산광역시 중구 보수동2가  48번길-1,POINT (129.023102086443 35.1062392767004)
2022-12-23,35.18172577,129.1231377,부산광역시 해운대구 재송동  368번길-4,부산광역시 해운대구 재송동  368번길-4,POINT (129.1231376854191 35.18172577399699)
2022-12-23,35.18701404,129.2025944,부산광역시 해운대구 송정동  451번길,부산광역시 해운대구 송정동  451번길,POINT (129.2025943781667 35.18701404447046)
2022-12-23,35.18452175,129.1069446,부산광역시 연제구 연산동  404번길-6,부산광역시 연제구 연산동  404번길-6,POINT (129.10694464511 35.18452174947638)
2022-12-23,35.11496286,128.9189036,부산광역시 강서구 명지동  402번길-2,부산광역시 강서구 명지동  402번길-2,POINT (128.9189036121402 35.11496285780872)
2022-12-23,35.1734486,128.9885332,부산광역시 사상구 덕포동  792번길,부산광역시 사상구 덕포동  792번길,POINT (128.9885331637619 35.17344860213409)
2022-12-24,35.1691689,128.9769219,부산광역시 사상구 괘법동  574번길,부산광역시 사상구 괘법동  574번길,POINT (128.9769219196997 35.16916889896022)
